status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,4.0,1.0,0.91,Easthampton,Massachusetts,1027.0,1404.0,2021-09-23,349900.0
for_sale,4.0,2.0,0.11,Chicopee,Massachusetts,1013.0,1872.0,2004-08-20,259900.0
for_sale,3.0,2.0,0.16,Springfield,Massachusetts,1104.0,1284.0,2011-08-26,240000.0
for_sale,5.0,5.0,2.0,Williamsburg,Massachusetts,1096.0,4476.0,2009-06-30,1290000.0
for_sale,3.0,1.0,0.26,Holyoke,Massachusetts,1040.0,1096.0,2019-05-10,289900.0
for_sale,2.0,2.0,0.23,South Hadley,Massachusetts,1075.0,1210.0,2004-05-21,199900.0
for_sale,9.0,10.0,2.83,Greenfield,Massachusetts,1301.0,5512.0,2004-07-01,945000.0
for_sale,2.0,1.0,2.61,Montague,Massachusetts,1351.0,936.0,1987-07-23,270000.0
for_sale,4.0,2.0,0.59,Hadley,Massachusetts,1035.0,2394.0,2018-06-08,439500.0
for_sale,3.0,3.0,0.14,Holyoke,Massachusetts,1040.0,1978.0,2009-06-24,289000.0
for_sale,8.0,4.0,0.14,Greenfield,Massachusetts,1301.0,4192.0,2011-09-28,299900.0
for_sale,2.0,1.0,0.27,Greenfield,Massachusetts,1301.0,1200.0,2006-02-17,235000.0
for_sale,3.0,3.0,0.4,Easthampton,Massachusetts,1027.0,1916.0,2008-01-25,449000.0
for_sale,4.0,2.0,0.49,Amherst,Massachusetts,1002.0,1814.0,1997-06-30,415000.0
for_sale,5.0,4.0,0.72,Hadley,Massachusetts,1035.0,4468.0,1998-01-06,995000.0
for_sale,3.0,2.0,0.54,Granby,Massachusetts,1033.0,1336.0,2019-08-02,325000.0
for_sale,3.0,2.0,0.16,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,275000.0
for_sale,2.0,1.0,0.5,Northampton,Massachusetts,1062.0,1072.0,1999-09-09,399999.0
for_sale,4.0,3.0,0.46,Amherst,Massachusetts,1002.0,2143.0,1988-06-10,499900.0
for_sale,4.0,4.0,0.91,South Hadley,Massachusetts,1075.0,2420.0,2012-10-09,547500.0
for_sale,3.0,2.0,0.53,Granby,Massachusetts,1033.0,880.0,2018-03-19,299900.0
for_sale,2.0,1.0,0.48,Southampton,Massachusetts,1073.0,1115.0,2000-09-29,319000.0
